β	ℓ	J_ℓ/β
0.5	2	0.08796309121719544
0.6	2	0.10207801837664562
0.7	2	0.12024024548387219
0.7999999999999999	2	0.14378700711364564
0.8999999999999999	2	0.1742906456222751
0.9999999999999999	2	0.21327838302188443
1.0999999999999999	2	0.2616295983680306
1.2	2	0.318743569857628
1.3	2	0.3819700367101835
1.4000000000000001	2	0.44696483240056684
1.5000000000000002	2	0.5090390386335824
1.6000000000000003	2	0.5646587828911614
1.7000000000000004	2	0.612160557866134
1.8000000000000005	2	0.6515250009802783
1.9000000000000006	2	0.6836962050123546
2.0000000000000004	2	0.7099493147219137
0.5	3	0.08440519434137775
0.6	3	0.09650278968206318
0.7	3	0.1115630238296258
0.7999999999999999	3	0.13030149379188594
0.8999999999999999	3	0.15338109866358904
0.9999999999999999	3	0.18115503947462547
1.0999999999999999	3	0.21331296907276867
1.2	3	0.24860264605341595
1.3	3	0.28489334400798416
1.4000000000000001	3	0.3196942208992489
1.5000000000000002	3	0.35088737618182875
1.6000000000000003	3	0.3772515227940107
1.7000000000000004	3	0.39854138004705897
1.8000000000000005	3	0.415215534176642
1.9000000000000006	3	0.4280622869357097
2.0000000000000004	3	0.437911289218916
0.5	4	0.08112365755665976
0.6	4	0.09150405035485198
0.7	4	0.1040506101060427
0.7999999999999999	4	0.1191182727121678
0.8999999999999999	4	0.1369205080980773
0.9999999999999999	4	0.1573578957218085
1.0999999999999999	4	0.17985300858553002
1.2	4	0.20330953660670267
1.3	4	0.22629066395987454
1.4000000000000001	4	0.2473773368101665
1.5000000000000002	4	0.2655324348623437
1.6000000000000003	4	0.28029424685883675
1.7000000000000004	4	0.29174232659984545
1.8000000000000005	4	0.30030985019247974
1.9000000000000006	4	0.3065680670147158
2.0000000000000004	4	0.31107103019766363
0.5	5	0.07808747445085155
0.6	5	0.08699672006636039
0.7	5	0.09748291985544817
0.7999999999999999	5	0.10969287900266933
0.8999999999999999	5	0.1236208273380576
0.9999999999999999	5	0.13900600804811436
1.0999999999999999	5	0.1552677320066628
1.2	5	0.17154369022598767
1.3	5	0.18685695905518646
1.4000000000000001	5	0.200356239105366
1.5000000000000002	5	0.21151883271702143
1.6000000000000003	5	0.22022416831749572
1.7000000000000004	5	0.22668379496641286
1.8000000000000005	5	0.23129222164989954
1.9000000000000006	5	0.23448379545436562
2.0000000000000004	5	0.23664383855241877
0.5	6	0.07527011712039994
0.6	6	0.08291172207842831
0.7	6	0.09169229085409888
0.7999999999999999	6	0.10164126692956785
0.8999999999999999	6	0.11265295755397581
0.9999999999999999	6	0.1244304349203097
1.0999999999999999	6	0.13647085722282482
1.2	6	0.14812613213972448
1.3	6	0.15873783328288515
1.4000000000000001	6	0.1677969182705125
1.5000000000000002	6	0.1750554562165255
1.6000000000000003	6	0.1805413121037239
1.7000000000000004	6	0.18448339923720503
1.8000000000000005	6	0.18720093412745425
1.9000000000000006	6	0.18901149918735533
2.0000000000000004	6	0.19018134443027135
0.5	7	0.07264875312377281
0.6	7	0.07919237161118362
0.7	7	0.0865486301854145
0.7999999999999999	7	0.09468407211317081
0.8999999999999999	7	0.10345553789237652
0.9999999999999999	7	0.11258280089428208
1.0999999999999999	7	0.1216572988174234
1.2	7	0.13020293353028556
1.3	7	0.13777847406892973
1.4000000000000001	7	0.1440821018508752
1.5000000000000002	7	0.14901043729936378
1.6000000000000003	7	0.15264755221440537
1.7000000000000004	7	0.1551994106826996
1.8000000000000005	7	0.1569144044262079
1.9000000000000006	7	0.15802426252891846
2.0000000000000004	7	0.15871595916934167
0.5	8	0.07020362253292974
0.6	8	0.07579170639038997
0.7	8	0.08194939326490477
0.7999999999999999	8	0.08861296484337097
0.8999999999999999	8	0.09563403278658962
0.9999999999999999	8	0.10276899855921062
1.0999999999999999	8	0.1096970639996273
1.2	8	0.11607310961705113
1.3	8	0.12160282791355986
1.4000000000000001	8	0.12611024041194602
1.5000000000000002	8	0.12956682475096576
1.6000000000000003	8	0.13207135149615387
1.7000000000000004	8	0.1337968403304906
1.8000000000000005	8	0.1349342050969968
1.9000000000000006	8	0.1356538634780326
2.0000000000000004	8	0.1360896339422157
0.5	9	0.06791753695994854
0.6	9	0.072670482265841
0.7	9	0.07781263220408076
0.7999999999999999	9	0.08326932900281608
0.8999999999999999	9	0.08890281897963764
0.9999999999999999	9	0.09451094362938106
1.0999999999999999	9	0.09984726105766352
1.2	9	0.10466399547735197
1.3	9	0.10876601497318639
1.4000000000000001	9	0.11205391509575117
1.5000000000000002	9	0.11453659668326711
1.6000000000000003	9	0.11630960996191397
1.7000000000000004	9	0.11751385667574941
1.8000000000000005	9	0.11829568574558869
1.9000000000000006	9	0.11878161706521628
2.0000000000000004	9	0.11906902064775775
0.5	10	0.06577547381984897
0.6	10	0.06979564704726214
0.7	10	0.07407205962582124
0.7999999999999999	10	0.07853023610167889
0.8999999999999999	10	0.08304999322218928
0.9999999999999999	10	0.0874687185788072
1.0999999999999999	10	0.09160020811954507
1.2	10	0.09526816800766001
1.3	10	0.09834442569124058
1.4000000000000001	10	0.10077607943900538
1.5000000000000002	10	0.10258922955700556
1.6000000000000003	10	0.10386910711618257
1.7000000000000004	10	0.10472857493303797
1.8000000000000005	10	0.10527981707437917
1.9000000000000006	10	0.10561749661352061
2.0000000000000004	10	0.1058133519496107
