β	ℓ	J_ℓ/β
0.5	2	1.0097419586828951e-28
0.51	2	9.899430967479363e-29
0.52	2	9.709057295027837e-29
0.53	2	9.525867534744293e-29
0.54	2	9.349462580397176e-29
0.55	2	9.179472351662683e-29
0.56	2	9.015553202525849e-29
0.5700000000000001	2	8.857385602481536e-29
0.5800000000000001	2	8.704672057611164e-29
0.5900000000000001	2	8.557135243075381e-29
0.6000000000000001	2	0.
0.6100000000000001	2	8.276573431827008e-29
0.6200000000000001	2	0.
0.6300000000000001	2	0.
0.6400000000000001	2	7.888609052210117e-29
0.6500000000000001	2	7.767245836022268e-29
0.6600000000000001	2	7.649560293052234e-29
0.6700000000000002	2	7.535387751364887e-29
0.6800000000000002	2	7.424573225609521e-29
0.6900000000000002	2	7.316970715093441e-29
0.7000000000000002	2	7.212442562020677e-29
0.7100000000000002	2	7.110858863964048e-29
0.7200000000000002	2	7.012096935297881e-29
0.7300000000000002	2	6.91604081289654e-29
0.7400000000000002	2	6.822580801911451e-29
0.7500000000000002	2	6.731613057885966e-29
0.7600000000000002	2	6.64303920186115e-29
0.7700000000000002	2	6.556765965473343e-29
0.7800000000000002	2	6.47270486335189e-29
0.7900000000000003	2	6.390771890398069e-29
0.8000000000000003	2	6.310887241768092e-29
0.8100000000000003	2	6.232975053598115e-29
0.8200000000000003	2	6.156963162700578e-29
0.8300000000000003	2	6.082782883631897e-29
0.8400000000000003	2	6.010368801683897e-29
0.8500000000000003	2	0.
0.8600000000000003	2	5.870592783040086e-29
0.8700000000000003	2	5.803114705074107e-29
0.8800000000000003	2	5.737170219789175e-29
0.8900000000000003	2	5.672707633049971e-29
0.9000000000000004	2	5.609677548238304e-29
0.9100000000000004	2	5.548032740015905e-29
0.9200000000000004	2	5.48772803632008e-29
0.9300000000000004	2	5.428720207972552e-29
0.9400000000000004	2	5.370967865334546e-29
0.9500000000000004	2	5.314431361488919e-29
0.9600000000000004	2	5.25907270147341e-29
0.9700000000000004	2	5.204855457128323e-29
0.9800000000000004	2	5.151744687157626e-29
0.9900000000000004	2	5.099706862034822e-29
1.0000000000000004	2	1.4084332189356731e-15
1.0100000000000005	2	0.029184455791845303
1.0200000000000005	2	0.056829579515738464
1.0300000000000005	2	0.08306067530894581
1.0400000000000005	2	0.10798864676819274
1.0500000000000005	2	0.1317121458383313
1.0600000000000005	2	0.15431933106762008
1.0700000000000005	2	0.17588931801824606
1.0800000000000005	2	0.19649338476993214
1.0900000000000005	2	0.21619598087571587
1.1000000000000005	2	0.23505557729554283
1.1100000000000005	2	0.2531253866944986
1.1200000000000006	2	0.27045397731615295
1.1300000000000006	2	0.28708579890959374
1.1400000000000006	2	0.30306163553156895
1.1500000000000006	2	0.3184189971950654
1.1600000000000006	2	0.3331924600972766
1.1700000000000006	2	0.34741396338908753
1.1800000000000006	2	0.3611130690375852
1.1900000000000006	2	0.3743171902021761
1.2000000000000006	2	0.38705179263254125
1.2100000000000006	2	0.3993405728564221
1.2200000000000006	2	0.41120561632130853
1.2300000000000006	2	0.4226675381587842
1.2400000000000007	2	0.43374560883206736
1.2500000000000007	2	0.44445786658920894
1.2600000000000007	2	0.45482121836319084
1.2700000000000007	2	0.4648515305252417
1.2800000000000007	2	0.474563710700562
1.2900000000000007	2	0.483971781689717
1.3000000000000007	2	0.4930889483985998
1.3100000000000007	2	0.5019276585608545
1.3200000000000007	2	0.5104996579352993
1.3300000000000007	2	0.5188160405743193
1.3400000000000007	2	0.5268872946850586
1.3500000000000008	2	0.5347233445414481
1.3600000000000008	2	0.5423335888501978
1.3700000000000008	2	0.5497269359263455
1.3800000000000008	2	0.5569118359927996
